國文,數學,英文
51,77,67
80,81,87
92,69,67
62,50,75
96,82,65
66,79,88
86,57,82
65,59,62
76,75,84
96,97,94
74,75,99
61,89,62
72,72,68
97,59,58
67,67,92
81,52,73
53,88,90
94,61,65
88,88,83
56,63,100
72,99,74
53,67,62
68,70,97
83,55,71
51,62,79
63,51,88
76,73,76
93,81,69
96,77,63
92,64,66
55,89,78
58,87,67
68,77,85
58,76,70
50,75,65
100,69,83
50,96,59
98,62,60
86,62,95
100,68,81
92,53,85
94,91,84
53,57,95
55,89,88
95,53,96
87,70,76
63,83,92
87,59,56
80,76,97
69,74,83
